datetime,year,name,latitude,longitude,max_wind_knots,category
1909-09-21 00:00:00,1909,AL091909,29.5,-91.3,100,3
1909-10-11 18:00:00,1909,AL111909,24.7,-81.0,100,3
1910-09-14 22:00:00,1910,AL031910,26.9,-97.4,90,2
1910-10-18 06:00:00,1910,AL051910,26.5,-82.0,95,2
1911-08-11 22:00:00,1911,AL021911,30.3,-87.5,70,1
1911-08-28 10:00:00,1911,AL031911,32.2,-80.7,85,2
1912-09-14 08:00:00,1912,AL041912,30.3,-88.4,65,1
1912-10-16 18:00:00,1912,AL061912,27.1,-97.4,85,2
1913-06-28 01:00:00,1913,AL011913,27.1,-97.4,65,1
1913-09-03 08:00:00,1913,AL041913,34.7,-76.6,75,1
1913-10-08 14:00:00,1913,AL051913,33.1,-79.4,65,1
1915-08-01 18:00:00,1915,AL011915,28.7,-80.8,65,1
1915-08-17 07:00:00,1915,AL021915,29.2,-95.1,115,4
1915-09-04 11:00:00,1915,AL041915,30.0,-85.4,80,1
1915-09-29 18:00:00,1915,AL061915,29.0,-90.3,110,3
1916-07-05 21:00:00,1916,AL021916,30.4,-88.4,105,3
1916-07-14 08:00:00,1916,AL041916,32.9,-79.5,95,2
1916-08-18 22:00:00,1916,AL061916,27.0,-97.4,115,4
1916-10-18 14:00:00,1916,AL141916,30.4,-87.4,95,2
1917-09-29 02:00:00,1917,AL041917,30.4,-86.6,100,3
1918-08-06 18:00:00,1918,AL011918,29.8,-93.2,105,3
1918-08-24 21:00:00,1918,AL031918,34.8,-76.8,65,1
1919-09-10 07:00:00,1919,AL021919,24.6,-82.9,130,4
1919-09-14 21:00:00,1919,AL021919,27.2,-97.3,100,3
1920-09-22 01:00:00,1920,AL021920,29.1,-90.8,85,2
1921-06-22 18:00:00,1921,AL011921,28.5,-95.9,80,1
1921-10-25 20:00:00,1921,AL061921,28.1,-82.8,100,3
1923-10-16 06:00:00,1923,AL061923,29.2,-91.0,70,1
1924-09-15 14:00:00,1924,AL051924,29.7,-85.3,75,1
1924-10-21 01:00:00,1924,AL101924,25.8,-81.8,80,1
1926-07-28 10:00:00,1926,AL011926,29.0,-80.8,90,2
1926-08-25 23:00:00,1926,AL031926,29.2,-90.9,100,3
1926-09-18 12:00:00,1926,AL071926,25.6,-80.3,125,4
1926-09-20 22:00:00,1926,AL071926,30.3,-87.5,100,3
1928-08-08 07:00:00,1928,AL011928,27.3,-80.2,85,2
1928-09-17 00:00:00,1928,AL041928,26.7,-80.0,125,4
1928-09-18 19:00:00,1928,AL041928,32.5,-80.3,75,1
1929-06-28 21:00:00,1929,AL011929,28.3,-96.4,80,1
1929-09-28 13:00:00,1929,AL021929,25.0,-80.5,100,3
1929-10-01 04:00:00,1929,AL021929,30.2,-85.7,70,1
1932-08-14 04:00:00,1932,AL021932,29.0,-95.2,130,4
1932-09-01 05:00:00,1932,AL031932,30.2,-88.1,75,1
